id,xp,avg_cycle_hours,avg_proj_comp,avg_proj_qual,lrn_supp,cult_cont,team_play,est_accuracy,est_bias,no_proj_rvws,elo
29f423c4,22.27,40.0,92.89,86.84,83.33,100.0,MISSING DATA,96.5,3.5,8,1002
dcf14075,115.07,40.0,89.38,87.51,97.62,95.24,MISSING DATA,76.13,23.88,8,1295
9ae522cc,20.09,40.0,92.89,86.84,83.33,100.0,MISSING DATA,96.5,3.5,7,996
89ffaeb3,17.58,40.0,82.11,83.95,91.67,100.0,MISSING DATA,87.5,-12.5,8,997
85eb0e18,18.61,40.0,82.11,83.95,83.33,100.0,MISSING DATA,85.0,15.0,8,1000
a4b6116a,22.78,40.0,89.28,90.0,83.33,83.33,MISSING DATA,MISSING DATA,MISSING DATA,8,1001
b6aa9c94,22.78,40.0,89.28,90.0,50.0,50.0,MISSING DATA,97.0,3.0,8,1002
45664623,30.48,40.0,95.83,95.0,83.33,100.0,MISSING DATA,94.0,6.0,8,1014
45a99283,30.48,40.0,95.83,95.0,83.33,75.0,MISSING DATA,MISSING DATA,MISSING DATA,6,1013
75dbe257,85.21,40.0,94.0,91.0,97.22,94.44,MISSING DATA,93.17,6.17,8,1257
adda47cf,20.62,40.0,93.82,86.47,91.67,91.67,MISSING DATA,96.5,-3.5,6,998
690c133a,20.88,40.0,93.82,86.47,83.33,83.33,MISSING DATA,87.5,12.5,8,999
396fad2d,21.22,40.0,93.25,89.25,75.0,66.67,MISSING DATA,96.0,4.0,8,997
cbcff678,21.47,40.0,93.25,89.25,83.33,91.67,MISSING DATA,87.5,12.5,8,998
90945a45,27.52,40.0,96.75,93.75,83.33,88.89,MISSING DATA,97.5,-2.5,7,1018
936e3168,37.68,40.0,96.75,93.75,94.44,94.44,MISSING DATA,93.5,6.5,8,1042
070b3063,52.48,40.0,96.75,93.75,83.33,88.89,MISSING DATA,MISSING DATA,MISSING DATA,7,1245
4d87f1c5,9.31,20.0,96.75,93.75,41.67,58.33,MISSING DATA,96.5,-3.5,5,989
4a6f36f6,30.73,40.0,92.35,91.53,91.67,100.0,MISSING DATA,96.5,3.5,7,1017
f7ba1065,21.19,40.0,92.35,91.53,75.0,83.33,MISSING DATA,91.5,-8.5,7,994
